t_value,stopping_index,error_R,error_D,error_Qs,error_M,error_L,error_M6
45,45,2.3990190236023588e-05,2.5922580420149287e-05,0.0001045666102294254,0.00016350747213746066,0.00016593094220026839,0.0005967568888796927
87,82,4.70865832348467e-05,4.796236750664538e-05,0.00014331019580160923,0.0002254355945463276,0.00021760282504838818,0.0006435608576943758
93,90,4.785042800059216e-05,5.06710304005138e-05,0.00018599394914677877,0.0002839633251586277,0.00029784670123045054,0.0008786199546219881
109,99,5.137347039060842e-05,5.3490924203449744e-05,0.0002490015446253279,0.0002549174524749336,0.00024210509899148415,0.0006869105940879042
151,99,7.62595867487819e-06,8.220332463864628e-06,2.1387527592540836e-05,4.6237418523592794e-05,4.6045854617896664e-05,0.00015406710688878472
