t_value,stopping_index,error_R,error_D,error_Qs,error_M,error_L,error_M6
45,38,3.3854078473847554e-06,3.327503438757677e-06,,2.8746647049522417e-05,2.5721208745980015e-05,0.00013498010177298022
87,58,8.746289061214339e-06,8.561660509101303e-06,,6.680963083876158e-05,5.830947854045702e-05,0.0002814254715125083
93,61,1.254067413128677e-05,1.2493146737441327e-05,,9.986839550376629e-05,8.824412583533208e-05,0.0004250579894446435
109,66,1.1338214766182068e-05,1.143505033496816e-05,,9.046027360382927e-05,8.025760103338264e-05,0.00037961366156290233
151,76,6.989152423873969e-06,7.362080901081316e-06,198925.549300089,6.41423019639425e-05,5.8449948417348145e-05,0.0002838883239204085
